shop_id,2016/10/18  view,2016/10/19  view,2016/10/20  view,2016/10/21  view,2016/10/22  view,2016/10/23  view,2016/10/24  view
1,23,29,24,20,27,25,19
2,26,32,23,25,28,25,9
3,5,3,5,5,13,2,4
4,19,19,13,24,40,29,15
5,6,2,5,11,6,5,17
6,12,5,9,8,9,10,7
7,23,18,16,14,15,20,10
8,8,9,1,3,2,2,1
9,10,6,4,7,11,4,2
10,1,2,0,3,3,1,1
11,3,1,2,0,3,7,5
12,21,10,7,15,14,24,11
13,7,6,9,6,5,3,2
14,18,21,8,10,16,18,13
15,0,1,0,1,0,3,2
16,17,25,23,13,24,22,18
17,27,37,30,40,22,44,33
18,12,2,8,11,12,10,7
19,3,5,10,4,7,7,6
20,10,11,2,10,5,4,2
21,4,1,2,5,4,3,3
22,42,36,37,34,26,36,38
23,0,1,0,3,0,0,5
24,12,12,18,27,31,33,18
25,14,12,18,10,24,14,13
26,4,7,7,5,12,10,4
27,5,5,5,6,4,7,10
28,29,20,17,21,21,25,32
29,2,1,2,9,0,4,2
30,33,39,42,29,35,48,37
31,11,7,8,3,3,3,3
32,1,2,3,1,1,0,0
33,18,15,20,14,20,6,8
34,11,9,22,14,23,15,9
35,6,9,8,8,18,16,19
36,2,2,1,4,4,10,7
37,15,13,16,13,23,14,12
38,0,2,0,1,1,6,0
39,11,17,26,19,14,22,13
40,0,3,0,1,0,1,0
41,10,27,15,16,34,26,18
42,5,3,6,3,5,4,2
43,0,0,0,0,0,0,0
44,178,166,201,215,252,245,177
45,1,1,5,1,4,5,4
46,5,3,4,8,3,3,1
47,0,1,0,1,0,1,0
48,4,3,4,6,4,5,2
49,32,36,30,26,31,23,20
50,18,18,17,14,17,9,9
51,9,4,7,11,10,1,7
52,5,2,3,10,6,5,11
53,1,1,0,0,0,0,1
54,13,6,10,10,15,20,11
55,18,23,16,18,30,28,15
56,12,15,18,11,19,13,11
57,7,15,7,17,15,8,8
58,18,30,38,12,41,19,14
59,0,0,3,4,4,1,0
60,21,28,12,22,16,13,17
61,2,3,4,4,1,2,1
62,20,22,24,20,29,18,24
63,0,3,0,2,7,4,1
64,10,14,11,9,5,6,7
65,13,20,14,13,22,18,6
66,0,0,2,0,1,0,1
67,8,6,5,7,4,6,8
68,3,1,0,2,3,1,1
69,4,8,12,14,7,10,10
70,8,5,5,8,8,7,9
71,5,8,8,6,7,5,44
72,8,15,4,4,9,12,10
73,4,2,5,1,6,6,4
74,1,3,0,2,4,2,1
75,7,5,10,5,4,9,8
76,10,5,3,1,5,4,5
77,10,9,7,11,9,3,7
78,3,2,3,3,4,2,5
79,9,6,12,8,8,6,7
80,3,3,0,1,1,1,10
81,5,3,5,4,5,1,1
82,11,11,6,6,7,10,10
83,13,34,15,19,15,17,15
84,12,18,8,11,8,12,9
85,8,21,10,14,20,12,7
86,5,4,9,14,9,5,6
87,4,4,6,7,7,3,4
88,82,78,66,120,88,95,64
89,10,8,3,5,5,4,19
90,6,10,11,12,12,10,11
91,2,4,1,3,5,1,3
92,23,26,25,22,20,8,3
93,6,3,4,3,2,2,4
94,8,7,3,1,5,6,1
95,15,23,26,36,29,18,25
96,6,8,5,7,8,6,4
97,2,9,5,7,2,6,8
98,5,3,8,2,9,3,6
99,10,6,5,7,5,7,11
100,13,24,5,19,17,17,18
101,21,20,29,28,25,17,20
102,2,4,1,1,6,0,3
103,3,3,1,2,0,2,2
104,9,8,13,14,18,16,12
105,20,10,11,12,23,29,16
106,1,0,1,1,0,0,3
107,4,0,5,4,6,7,0
108,7,0,4,7,11,3,8
109,0,2,0,0,2,0,1
110,2,0,0,1,1,0,0
111,8,4,1,5,1,1,4
112,2,1,6,3,13,1,3
113,2,0,1,1,1,0,1
114,42,31,32,40,24,20,41
115,13,14,21,5,12,12,13
116,1,1,0,0,2,1,6
117,40,50,43,57,58,72,44
118,1,0,0,1,1,0,0
119,15,14,14,35,24,22,18
120,3,2,7,0,2,3,1
121,30,29,70,62,59,54,85
122,0,1,4,2,1,2,0
123,4,4,2,6,3,2,6
124,2,3,7,14,7,6,4
125,7,3,5,4,3,3,1
126,11,4,4,7,5,11,8
127,8,12,10,6,14,21,12
128,36,48,44,53,61,56,45
129,9,19,12,11,14,14,2
130,14,19,11,20,19,13,7
131,1,2,8,4,7,1,2
132,10,10,22,15,14,20,10
133,6,10,9,1,4,7,7
134,8,8,11,13,14,11,9
135,10,3,2,5,5,11,2
136,27,34,32,31,23,15,21
137,6,6,5,4,5,6,4
138,64,100,84,98,100,72,45
139,9,22,15,8,23,15,7
140,0,0,0,0,0,0,0
141,1,1,5,2,3,2,1
142,2,5,2,1,1,0,0
143,10,2,8,8,8,6,7
144,2,4,2,5,2,3,3
145,6,8,20,8,15,13,9
146,18,15,23,15,18,17,24
147,1,0,2,2,0,2,3
148,0,2,0,0,1,1,0
149,63,54,43,56,54,62,63
150,1,2,2,3,4,4,7
151,16,4,7,15,10,3,1
152,23,23,14,24,15,25,10
153,18,19,18,25,20,5,7
154,1,3,5,3,4,4,1
155,39,34,41,24,51,29,35
156,5,4,4,11,7,7,4
157,16,12,8,9,14,14,5
158,4,2,0,3,4,1,2
159,30,17,12,18,22,26,19
160,0,0,0,6,0,0,1
161,10,7,14,12,13,9,12
162,0,2,2,3,1,1,2
163,1,0,4,1,3,3,6
164,2,3,2,3,1,7,2
165,2,8,11,4,12,5,3
166,2,2,15,14,3,4,7
167,19,20,12,14,8,11,9
168,0,2,2,0,2,0,4
169,51,46,56,48,59,54,32
170,12,6,19,7,18,10,11
171,8,12,20,17,11,9,12
172,11,6,13,7,9,8,7
173,5,7,2,1,6,3,5
174,5,1,4,4,2,4,3
175,3,2,2,6,4,1,2
176,4,3,6,11,8,4,7
177,14,6,11,6,27,6,7
178,0,0,0,0,1,0,0
179,30,21,45,26,31,39,22
180,4,5,5,7,8,7,6
181,35,35,47,20,51,63,26
