shop_id,2016/10/25  view,2016/10/26  view,2016/10/27  view,2016/10/28  view,2016/10/29  view,2016/10/30  view,2016/10/31  view
1,21,23,24,21,32,40,14
2,12,10,16,11,29,41,28
3,6,3,4,2,7,8,3
4,13,14,14,12,31,21,20
5,13,13,8,3,5,5,5
6,4,5,7,4,6,13,6
7,10,13,21,34,21,33,10
8,5,2,3,6,1,3,3
9,2,2,2,6,3,11,3
10,1,1,1,3,2,0,2
11,5,4,5,1,3,4,4
12,10,8,29,22,21,16,11
13,0,1,5,1,6,0,10
14,8,9,11,11,8,14,9
15,0,0,1,0,1,8,0
16,12,12,12,18,24,24,23
17,28,36,21,17,33,31,19
18,5,6,11,4,12,6,7
19,7,1,3,3,3,7,1
20,7,4,8,7,9,7,2
21,2,3,4,5,4,9,0
22,38,43,30,43,40,38,38
23,1,0,1,0,0,0,3
24,15,31,59,21,14,26,12
25,13,24,13,24,32,37,16
26,6,4,5,7,8,8,17
27,5,8,9,5,7,7,11
28,13,14,17,25,23,41,26
29,7,0,3,3,4,5,4
30,28,39,38,41,39,47,42
31,3,1,6,2,5,15,5
32,1,1,3,2,0,3,1
33,9,9,13,11,18,13,14
34,18,19,11,9,18,24,11
35,31,14,24,13,19,22,20
36,3,5,3,4,8,3,5
37,6,18,9,16,24,16,24
38,0,2,0,1,0,0,1
39,12,15,10,11,8,24,8
40,2,1,2,0,1,0,0
41,10,27,15,14,19,21,34
42,0,1,7,6,1,3,0
43,0,14,20,31,37,38,30
44,174,144,184,230,305,263,209
45,4,4,0,4,3,4,3
46,3,2,5,0,3,3,0
47,0,0,0,2,0,4,1
48,4,5,5,5,7,6,4
49,15,22,17,37,36,34,46
50,10,7,11,4,7,9,10
51,6,5,8,10,7,5,14
52,10,3,6,10,10,10,7
53,1,0,0,0,0,0,3
54,8,8,7,7,13,10,9
55,9,2,20,13,40,29,21
56,9,8,7,2,10,15,14
57,16,8,13,16,9,14,3
58,21,12,25,30,48,32,51
59,0,0,0,2,1,5,3
60,11,8,13,26,22,25,29
61,8,0,1,1,3,3,1
62,16,9,14,13,17,16,40
63,1,4,2,1,6,2,2
64,10,12,11,3,5,7,6
65,4,14,8,21,22,28,20
66,0,1,0,0,4,2,0
67,4,5,4,1,8,10,6
68,1,0,3,2,5,2,2
69,8,9,9,8,4,2,10
70,4,9,7,14,18,15,12
71,24,7,7,10,28,21,36
72,1,6,7,4,2,5,6
73,1,8,5,5,9,1,7
74,1,1,1,2,3,1,3
75,4,3,3,2,6,0,4
76,4,4,1,2,10,5,2
77,9,9,11,7,8,1,11
78,6,4,3,4,2,5,5
79,10,7,9,9,3,0,1
80,1,1,2,2,7,1,4
81,2,1,1,0,1,2,2
82,6,12,10,7,5,7,2
83,9,13,17,14,17,25,18
84,12,18,2,3,13,2,18
85,10,9,7,10,30,18,5
86,1,5,4,5,11,12,7
87,1,5,7,2,3,5,3
88,85,87,93,84,108,143,106
89,26,29,24,22,65,5,26
90,6,13,15,6,10,6,4
